TRACKER,MADE A COPY TO SERVE AS A CHECK LIST [COPY AS OF 10/03/2023 10:11AM,,,,,,,,,,,
Not Done - 2,Cells for questions that are still incomplete are shaded red.,,Make sure to apply corrections from this checklist before applying corrections from other checklists!                           ,,,,,,,,,
Done - 441,,,,,,,,,,,,
No Key - 31,,,,,,,,,,,,
Status,Location in Database,,Item #,Statement Type (Question/Reply),English,Filipino,,,Cebuano,Actual in the DB,Cebuano (fill in the blanks),firestore document name
Done,,earp-x-confirmation,49,Question,,Nagkaroon ka ba ng ____?,,Nagkaroon ka ba ng ____?,Nagka ____ baka?,EE document,,
Done,,,,Reply,"1. Yes
2. No
3. I don't know","1. Oo
2. Hindi
3. Hindi ko alam",,"1. Oo
2. Hindi
3. Hindi sigurado/ hindi alam","1. Oo
2. Dili
3. Basin / Wala ko kahibalo",,,
Done,,earp-x-duration,50,Question,,Gano katagal na ang ____ sa iyong tenga?,,Ilang araw na sa tenga mo ang ____?,Unsa na kadugay sa imong dunggan ang ____?,,,
Done,,,,Reply,"1. 1-3 days
2. 4-6 days
3. 7 days or more","1. 1-3 araw
2. 4-6 araw
3. Mahigit 7 araw",,"1. 1-3 araw
2. 4-6 araw
3. 7 araw at higit pa","1. 1-3 ka adlaw
2. 4-6 ka adlaw
3. usa ka semana na kapin",,,
Done,,earp-x-followupcheckup,51,Question,,Nagpatingin ka ba ulit sa doktor?,,Nagpatingin ka ba ulit sa doktor?,Nakapatan aw kaba sa doctor niini?,,,
Done,,,,Reply,"1. Yes
2. No
3. I don't know","1. Oo
2. Hindi
3. Hindi ko alam",,"1. Oo
2. Hindi
3. Hindi sigurado/ hindi alam","1. Oo
2. Wala
3. Mura/ Wala ko kahibalo",,,
Done,,earp-x-part,52,Question,,Saan banda ng tenga ang may ____?,,Alin sa mga tenga mo ang _________?,Asa sa imong dunggan ang na _________?,,,
Done,,,,Reply,"1. Left ear
2. Right ear
3. Both ears","1. Kaliwa
2. Kanan
3. Pareho",,"1. Kaliwang tenga
2. Kanang tenga
3. Parehong tenga","1. Wala na dunggan
2. Tuo na dunggan
3. Ang duha ka dunggan",,,
Done,,earp-x-past,53,Question,,Kailan huling ngayari ang ____?,,Kailan mo ito huling naramdaman?,Kanus a ni nimo katapusaang nabati?,,,
Done,,,,Reply,"1. Today
2. Yesterday
3. Last week
4. More than a month ago","1. Kahapon
2. Nakaraang linggo
3. Nakaraang buwan",,"1. Ngayong araw   2. Kahapon 
3. Nakaraang linggo 
3. Higit ng isang buwan ","1. Karon adlawa                                     2. Gahapon
3. Miaging semana
3. lapas na sa usa ka buwan",,,
Done,,fungal-didapplycream,54,Question,,Naglagay ba ng fungal cream sa iyong tenga?,,May ipinahid ka ba sa tenga mo na panlaban sa mikrobyo?,Aduna ba kay gipahid sa imong dunggan na pangkontra sa mikrobyo?,,,
Done,,,,Reply,"1. Yes
2. No
3. I don't know","1. Oo
2. Hindi
3. Hindi ko alam",,"1. Meron
2. Wala 
3. Hindi sigurado/ hindi alam","1. Naa
2. Wala 
3. Mura/Wala ko kahibalo",,,
Done,,fungal-extremeheadache,55,Question,,Sumakit ba ang ulo mo?,,Nakaramdam ka ba ng pananakit ng ulo?,Nakabati baka ug pagsakit sa ulo?,,,
Done,,,,Reply,"1. Yes
2. No
3. I don't know","1. Oo
2. Hindi
3. Hindi ko alam",,"1. Oo
2. Hindi
3. Hindi sigurado/ hindi alam","1. Oo
2. wala
3.Mura/ Wala ko kahibalo",,,
Done,,fungal-itchiness,56,Question,Does your inner ear itch?,Nangangati ba yung loob ng tenga mo?,Nangangati ba ang loob ng tenga mo?,Nangangati ba ang tenga mo sa loob? ,Nangatol ba ang sulod sa imong dunggan?,,,
Done,,,,Reply,"1. Yes
2. No
3. I don't know","1. Oo
2. Hindi
3. Hindi ko alam",,"1. Oo
2. Hindi
3. Hindi sigurado/ hindi alam","1. Oo
2. Wala
3. Mura/ Wala ko kahibalo",,,
Done,,fungal-muffledhearing,57,Question,,Humina ba ang iyong pandinig?,,Napansin mo ba kung humihina ang pandinig ng tenga mo?,Nakabati baka nga niminus ang imong pandunggog?,,,
Done,,,,Reply,"1. Yes
2. No
3. I don't know","1. Oo
2. Hindi
3. Hindi ko alam",,"1. Oo
2. Hindi
3. Hindi sigurado/ hindi alam","1. Oo
2. Wala
3. Mura / Wala ko kahibalo",,,
Done,,si-allergicrhinitis,58,Question,,Meron ka bang allergic rhinitis bago sumakit ang iyong tenga?,,Meron ka bang allergic rhinitis bago sumakit ang tenga mo?,Aduna bakay alerdyic rhinitis sa wala pa nisakit ang imong dunggan?,,,
Done,,,,Reply,"1. There is
2. None
3. I don't know","1. Meron
2. Wala
3. Hindi ko alam",,"1. Meron
2. Wala
3. Hindi sigurado/ hindi alam","1. Oo
2. Wala
3. Mura/ Wala ko kahibalo",,,
Done,,si-dischargecolor,59,Question,,Anong kulay ito?,,Napansin mo ba kung anong kulay ng likidong lumalabas sa tenga mo?,Unsay kolor sa tubig nga miagas sa imong dunggan?,,,
Done,,,,Reply,"1. White
2. Red
3. Yellow
4. Nothing comes out of my ear","1. Puti
2. Pula
3. Dilaw
4. Wala",,"1. Kulay puti
2. Mapula-pula
3. Manilaw-nilaw
4. Walang lumalabas sa tenga ko","1. Puti
2. Puwa puwa
3. Yellow
4. Wala ray niagas sa akong dunggan",,,
Done,,si-dischargefoulsmell,60,Question,,Meron bang amoy yung luga?,,Masama bang amoy ng likidong lumalabas sa tenga mo?,Baho ba ang moagas sa imong dunggan?,,,
Done,,,,Reply,"1. Yes
2. No
3. I don't know","1. Oo
2. Hindi
3. Hindi ko alam",,"1. Oo
2. Hindi
3. Hindi sigurado/ hindi alam","1. Oo
2. Dili
3. Mura / Wala ko kahibalo",,,
Done,,si-insertedobject,61,Question,,May pinasok ka ba sa iyong tenga?,,Meron ka bang ipinasok sa loob ng tenga mo?,Aduna bakay gisulod sa imong dunggan?,,,
Done,,,,Reply,"1. Yes
2. No
3. I don't know","1. Meron
2. Wala
3. Hindi ko alam",,"1. Meron
2. Wala
3. Hindi sigurado/ hindi alam","1. Naa
2. Wala
3. Mura/ wala ko kahibalo",,,
Done,,si-itchiness,62,Question,Does your inner ear itch?,Makati ba ang loob ng iyong tenga?,,Nangangati ba ang tenga mo sa loob?,Nangatol ba ang sulod sa imong dunggan?,,,
Done,,,,Reply,"1. Yes
2. No
3. I don't know","1. Oo
2. Hindi
3. Hindi ko alam",,"1. Oo
2. Hindi
3. Hindi sigurado/ hindi alam","1. Oo
2. Wala
3. Mura / Wala ko kahibalo",,,
Done,,so-allergicreactionearrings,63,Question,,Meron ka bang allergy sa hikaw?,,Allergic ba ang tenga mo sa hikaw?,Alerdyik ba imong dunggan ug ariyos?,,,
Done,,,,Reply,"1. Yes
2. No
3. I don't know","1. Meron
2. Wala
3. Hindi ko alam",,"1. Oo
2. Hindi
3. Hindi sigurado/ hindi alam","1. Oo
2. Dili
3. Mura / Wala ko kahibalo",,,
Done,,so-unhealedpiercing,64,Question,,Meron ka bang piercing na hindi pa naghilom?,,Meron bang butas ang tenga mo para sa hikaw na hindi pa tuluyang gumagaling?,Aduna bakay buslot para sa ariyos na wala pa naayo?,,,
Done,,,,Reply,"1. Yes
2. No
3. I don't know","1. Meron
2. Wala
3. Hindi ko alam",,"1. Meron
2. Wala
3. Hindi sigurado/ hindi alam","1. Oo
2. Wala
3. Mura/ Wala ko kahibalo",,,
Done,,swelling-earlobe-location,65,Question,,Saang parte ng tenga ang may pamamaga?,,Napansin mo ba kung saan banda namamaga?,Nakapansin baka ug asa dapita ang nihubag?,,,
Done,,,,Reply,"1. Outer part
2. Inner part
3. I don't know","1. Labas
2. Loob
3. Wala",,"1. Sa bukana/ labas ng tenga 
2. Sa bandang loob
3. Hindi sigurado/ hindi alam","1. Sa gawas na parte
2. Sa sulod na parte
3. Wala ko kahibalo",I138 - labas ng tenga nilagay ko,,
Done,,swelling-painintensity,66,Question,,Gaano ka sakit ito (1-10)? 10 bilang pinakamasakit,"Mula 0 hanggang 10, kung saan 10 ang pinakamataas, gaano kasakit ito?",Gaano katindi ang sakit kung nasa bilang 10 ang pinakamasakit?,"Unsa ang kasakit nga imong nabati kung mag score tag 0 hangtod sa 10, 10 ang pinakasakit?",,,
Done,,,,Reply,,"1. 1
2. 2
3. 3
4. 4
5. 5
6. 6
7. 7
8. 8
9. 9
10. 10",,"1. 1
2. 2
3. 3
4. 4
5. 5
6. 6
7. 7
8. 8
9. 9
10. 10","1. 1
2. 2
3. 3
4. 4
5. 5
6. 6
7. 7
8. 8
9. 9
10. 10",,,
Done,endocrine-module,"endocrine-circumcision-
days-to-heal",67,Question,How long did it take before you have completely not experience pain from circumcision?,Gaano katagal bago mo hindi nakaramdam ng sakit mula sa pagtuli?,Gaano katagal bago napawi ang naramdaman mong sakit sa pagtuli?,Ilang araw makirot/ masakit ang sugat sa pagkatuli?,Pila ka adlaw nisakit ang samad sa tuli?,,,
Done,,,,Reply,"1. At most a day
2. 1 - 3 days
3. 4 - 6 days
4. 7 - 10 days
5. More than 10 days
6. I do not remember","1. Di higit sa isang araw
2. 1 - 3 na araw
3. 4 - 6 na araw
4. 7 - 10 na araw
5. Higit sa 10 araw
6. Hindi ko maalala",,"1. isang araw  
2. 2- 3  araw
3. 4- 6  araw
4. 7-10 araw
5. lagpas 10 araw
6. Hindi matandaan ","1. usa ka adlaw
2. duha hangtod sa tulo ka adlaw
3. upat hangtod sa unom ka adlaw
4. pito hangtod sa napulo ka adlaw
5. lapas na sa napulo ka adlaw
6. Wala ko nakahibalo",,,
Done,,"endocrine-circumcision-
painintensity",68,Question,"From 0 to 10, 10 is the highest, how do you felt that pain while you were circumcised?","Mula 0 hanggang 10, 10 ang pinakamataas, gaano mo naramdaman ang sakit habang ikaw ay tinuli?","Mula 0 hanggang 10, kung saan 10 ang pinakamataas, gaano kasakit ang pagtuli?",Gaano katindi ang sakit kung nasa bilang 10 ang pinakamasakit?,"Unsa ang kasakit nga imong nabati kung mag score tag 0 hangtod sa 10, 10 ang pinakasakit?",,,
Done,,,,Reply,"1. 1
2. 2
3. 3
4. 4
5. 5
6. 6
7. 7
8. 8
9. 9
10. 10","1. 1
2. 2
3. 3
4. 4
5. 5
6. 6
7. 7
8. 8
9. 9
10. 10",,"1. 1
2. 2
3. 3
4. 4
5. 5
6. 6
7. 7
8. 8
9. 9
10. 10","1. 1
2. 2
3. 3
4. 4
5. 5
6. 6
7. 7
8. 8
9. 9
10. 10",,,
Done,,"endocrine-
hascircumcised",69,Question,Were you circumcised?,Tuli ka ba?,,Natuli ka na ba?,Natuli na ba ka?,,,
Done,,,,Reply,"1. Yes
2. No
3. I do not remember","1. Oo
2. Hindi
3. Hindi ko maalala",,"1. Oo
2. Hindi pa
3. Hindi sigurado/ hindi matandaan","1. Oo
2. Wala pa
3. Mura/ wala ko kahibalo",,,
Done,,endocrine-hasmens,70,Question,Did you have menstruation?,Nagkaroon ka na ba ng regla?,,Nagkaroon ka na ba ng regla?,Gidugo naba ka?,,,
Done,,,,Reply,"1. Yes
2. No
3. I do not remember","1. Oo
2. Hindi
3. Hindi ko maalala",,"1. Oo
2. Hindi pa
3. Hindi sigurado/ hindi maalala","1. Oo
2. wala pa
3. Mura/ wala ko kahibalo",,,
Done,,"endocrine-mens-
colorbeginning",71,Question,What was the color of the blood at the beginning of your menstrual period?,,,Anong kulay ng regla mo sa simula/ unang araw? ,Unsay kolor sa imong permirong regla?,,,
Done,,,,Reply,"1. Orange
2. Pink
3. Light red
4. Brown/dark red
5. Black
6. Gray
7. I do not remember","1. Kulay kahel
2. Kulay rosas
3. Matingkad na pula
4. Kayumanggi/dark red
5. Itim
6. Kulay abo
7. Hindi ko maalala",,"1. Kulay kahel
2. Mala-rosas
3. Maputlang kulay pula
4. Matingkad na kulay pula
5. Maitim
6. Kulay abo
7. Hindi sigurado/ hindi matandaan ","1. orange
2. pink
3. luspad na puwa
4. hayag nga puwa
5. Itom
6. Murag abo
7. Wala ko kahinumdum",,,
Done,,"endocrine-mens-
colorend",72,Question,At the end of your menstrual period?,Sa pagtatapos ng iyong regla?,,Anong kulay ng regla mo sa huling araw? ,Unsay kolor sa imong regla sa katapusang adlaw?,,,
Done,,,,Reply,"1. Orange
2. Pink
3. Light red
4. Brown/dark red
5. Black
6. Gray
7. I do not remember","1. Kulay kahel
2. Kulay rosas
3. Matingkad na pula
4. Kayumanggi/dark red
5. Itim
6. Kulay abo
7. Hindi ko maalala",,"1. Kulay kahel
2. Mala-rosas
3. Maputlang kulay pula
4. Matingkad na kulay pula
5. Maitim
6. Kulay abo
7. Hindi sigurado/ hindi matandaan ","1. orange
2. pink
3. luspad na puwa
4. hayag nga puwa
5. Itom
6. Murag abo
7. Wala ko kahinumdum",,,
Done,,"endocrine-mens-
colormiddle",73,Question,In the middle part?,Sa gitnang bahagi?,,Anong kulay ng regla mo sa kalagitnaan? ,Unsay kolor sa imong regla pag tunga tunga?,,,
Done,,,,Reply,"1. Orange
2. Pink
3. Light red
4. Brown/dark red
5. Black
6. Gray
7. I do not remember","1. Kulay kahel
2. Kulay rosas
3. Matingkad na pula
4. Kayumanggi/dark red
5. Itim
6. Kulay abo
7. Hindi ko maalala",,"1. Kulay kahel
2. Mala-rosas
3. Maputlang kulay pula
4. Matingkad na kulay pula
5. Maitim
6. Kulay abo
7. Hindi sigurado/ hindi matandaan ","1. Kulay kahel
2. Mala-rosas
3. Maputlang kulay pula
4. Matingkad na kulay pula
5. Maitim
6. Kulay abo
7. Hindi sigurado/ hindi matandaan ",,,
Done,,"endocrine-mens-
hasdischarges",74,Question,Were there other fluids that flow out aside from your blood?,Mayroon bang ibang likido na umaagos bukod sa iyong dugo?,May iba bang lumabas bukod sa dugo?,Napansin mo ba kung may lumalabas sa pwerta mo bukod pa sa iyong  regla?,Napansin ba nimo na adunay laing nigawas sa imong kinataw nga dili parte sa imong regla?,,,
Done,,,,Reply,"1. Yes, there are
2. None
3. I do not remember","1. Meron
2. Wala
3. Hindi ko maalala",,"1. Oo, meron pang iba
2. Wala naman
3. Hindi sigurado/ hindi matandaan","1. Oo, naa pay lain nigawas
2. Wala ra
3. Mura/ Wala ko kahibalo",,,
Done,,"endocrine-mens-
intervalperiod",75,Question,Did it last more or less than 28 days?,Tumagal ba ito ng higit o mas mababa sa 28 araw?,,Karaniwan bang dumadating ang regla mo tuwing ika-28 araw? ,Permi bang mogawas imong regla kada 28 ka adlaw?,,,
Done,,,,Reply,"1. More or equal
2. Less
3. I do not remember","1. Higit pa o katumbas doon
2. Mas mababa
3. Hindi ko maalala",,"1. Eksakto o lagpas ng ilang araw 
2. Mas maaga 
3. Hindi matandaan","1. Eksakto o lapas ug pila ka adlaw
2. Mas sayo maabot
3. Wala nako nakahinumdum",,,
Done,,"endocrine-mens-
last-occurred",76,Question,When was your last menstrual period?,Kailan ang iyong huling regla?,,Kailan ang huli mong regla?,Kanus a imong katapusang regla?,,,
Done,,,,Reply,"1. Today
2. Yesterday
3. 2 - 4 days
4. 5 - 7 days
5. 8 - 10 days
6. More than 10 days
7. I do not remember","1. Ngayong araw
2. Kahapon
3. 2 - 4 na araw
4. 5 - 7 na araw
5. 8 - 10 na araw
6. Hight sa 10 araw
7. Hindi ko maalala",,"1. Ngayon
2. Kahapon
3. Nakalipas na 2-4 araw
4. Nakalipas na 5-7 araw
5. Nakalipas na 8-10 araw
6. Lagpas 10 araw                                                7. Hindi matandaan ","1. Karon
2. Gahapon
3. 2-4 ka adlaw na ang milabay
4. 5-7 ka adlaw na ang milabay
5. 8-10 ka adlaw na ang milabay
6. Lapas na sa 10 ka adlaw                                               7. Wala nako nakahinumdum",,,
Done,,"endocrine-mens-
stomachhurt",77,Question,Does your stomach always hurt while on a menstrual period?,Lagi bang sumasakit ang iyong tiyan habang nasa regla?,Lagi bang sumasakit ang tiyan mo tuwing nireregla ka?,Madalas bang sumasakit ang puson mo kapag may regla ka?,Permi bang mosakit imong pus-on ug mag regla ka?,,,
Done,,,,Reply,"1. Yes
2. No
3. I do not remember","1. Oo
2. Hindi
3. Hindi ko maalala",,"1. Oo
2. Minsan
3. Hindi ","1. Oo
2. Usahay
3. Dili",,,
Done,eyes-module,eyep-haspain,78,Question,Did you experience pain in your eyes?,Naranasan mo na ang sakit sa iyong mga mata?,Nakaranas ka ba ng pananakit ng mata?,Sumasakit bang mga mata mo?,Nisakit ba ang imong mata?,,,
Done,,,,Reply,"1. Yes
2. No
3. I do not remember","1. Oo
2. Hindi
3. Hindi ko maalala",,"1. Oo
2. Hindi
3. Hindi sigurado/ hindi matandaan","1. Oo
2. Wala
3. Mura/ Wala ko kahinumdum",,,
Done,,eyep-lossofsight,79,Question,Is your vision blurry?,Nalabo ba ang iyong paningin?,,Napansin mo bang lumalabo ang paningin mo?,Napansin ba nimo nga mihanap ang imong panan aw?,,,
Done,,,,Reply,"1. Yes
2. No
3. I do not know","1. Oo
2. Hindi
3. Hindi ko alam",,"1. Oo
2. Hindi
3. Hindi sigurado/ hindi matandaan","1. Oo
2. wala
3. Basin / Wala ko kahinumdum",,,
Done,,eyep-x-affectedeye,80,Question,Which eye is affected by ____?,Aling mata ang apektado ng ____?,,Alin sa mga mata mo ang may problema?,Asa sa imong mga mata ang adunay problema?,,,
Done,,,,Reply,"1. Left
2. Right
3. Both left and right
4. I do not remember","1. Kaliwa
2. Kanan
3. Kaliwa at kanan
4. Hindi ko maalala",,"1. Kaliwa
2. Kanan
3. Pareho, kaliwa at kanan
4. Hindi sigurado/ hindi matandaan","1. Wala
2. Tuo
3. ang duha
4. Wala ko kahinumdum",,,
Done,,eyep-x-causes,81,Question,Why did you have ____?,Bakit ka nagkaroon ng ____?,,"Sa tingin mo, bakit nangyari ito?",Sa imong tan aw nganong nagkaproblema man ang imong mata?,,,
Done,,,,Reply,"1. Allergies
2. Smoke/dust
3. Exposure to chlorine
4. Direct sunlight
5. Scratched eyes
6. Foreign object
7. Other reasons
8. I do not remember","1. Mga allergies
2. Usok/alikabok
3. Exposure sa chlorine
4. Direct sunlight
5. Nakalmot ang mata
6. Foreign object
7. Ibang dahilan
8. Hindi ko maalala","1. Mga allergies
2. Usok/alikabok
3. Exposure sa chlorine
4. Sinag ng araw
5. Nakalmot ang mata
6. Foreign object
7. Ibang dahilan
8. Hindi ko maalala","1. Nagkaroon ng allergy
2. Nausukan/ naalikabukan 
3. Napasukan ng chlorine
4. Nasinagan ng araw
5. Nakalmot ang mata
6. Natamaan ng bagay
7. Iba pang dahilan ____________
8. Hindi alam/ hindi matandaan","1. Nagka alerdyi
2. Naasuhan or naabugan
3. Nasudlan ug chlorine
4. Nahayagan sa adlaw
5. Nakawras ang mata
6. Naigo ug butang
7. Uban pang rason ____________
8. Wala ko kahibalo/ Nakalimot nako",,,
Done,,eyep-x-confirmation,82,Question,Did you experience having ____?,Naranasan mo na bang magkaroon ng ____?,,Naranasan mo na bang _____________?,Nakasuway baka ug _____________?,,,
Done,,,,Reply,"1. Yes
2. No
3. I do not know","1. Oo
2. Hindi
3. Hindi ko alam",,"1. Oo
2. Hindi
3. Hindi alam/ hindi matandaan","1. Oo
2. Wala
3. Mura / Wala ko kahinumdum",,,
Done,,eyep-x-duration,83,Question,How long did it take you to see and relieve it?,Gaano katagal bago mo nakita at naibsan ito?,,Ilang araw bago mo ito napansin at nagawan ng paraan?,Pila ka adlaw usa ni nimo napansin ug napangitaan ug paagi?,,,
Done,,,,Reply,"1. Immediately
2. Less than a day
3. Less than a week
4. Less than a month
5. 1 or more months
6. I do not remember","1. Kaagad-agad
2. Wala pang 1 araw
3. Wala pang 1 linggo
4. Wala pang 1 buwan
5. 1 o higit pang buwan
6. Hindi ko maalala",,"1. Kaagad-agad
2. Wala pang isang araw
3. Pagkalipas ng isang linggo
4. Pagkalipas ng isang buwan
5. Lagpas ng isang buwan
6. Hindi alam/ hindi matandaan","1. napansin dayon
2. Wala pay usa ka adlaw
3. usa ka semana na ang milabay
4. Usa ka buwan na ang milabay
5. Lapas na sa usa ka buwan
6. Wala ko kahibalo/ wala nako nakahinumdum",,,
Done,,eyep-x-past,84,Question,When did you last have it?,Kailan ka huling nagkaroon nito?,,Kailan mo ito huling naramdaman?,Kanus a ni nimo katapusaang nabati?,,,
Done,,,,Reply,"1. A while ago/just now
2. Yesterday
3. 2 to 4 days ago
4. 5 to 7 days ago
5. More than 1 week ago
6. I do not remember","1. Kanina/Ngayon lang
2. Kahapon
3. 2 - 4 araw lumipas
4. 5 - 7 araw lumipas
5. Higit sa 1 linggo
6. Hindi ko maalala",,"1. Ngayon/ Kanina lang
2. Kahapon
3. Nakaraang 2- 4 araw 
4. Nakaraang 5- 7 araw 
5. Lagpas ng isang linggo
6. Hindi alam/ hindi matandaan","1.Karon lang
2. Gahapon
3. sa milabay na 2-4 ka adlaw
4.sa milabay na 5-7 ka adlaw
5. Lapas na sa usa ka semana
6. Wala ko kahibalo/ Wala nako nakahinumdum",,,
Done,,"eyes-canseeclearly
afterwearingglasses",85,Question,Can you still see clearly after wearing glasses?,Malinaw ba ang nakikita mo pagkatapos magsuot ng salamin?,Malinaw ba ang paningin mo pagsuot ng salamin?,Malinaw bang paningin mo kapag may suot na salamin?,Motin aw ba ang imong panan-aw ug magsoot ka ug antipara?,,,
Done,,,,Reply,"1. Yes
2. No
3. Sometimes
4. I do not remember","1. Oo
2. Hindi
3. Minsan
4. Hindi ko maalala",,"1. Oo
2. Hindi
3. Minsan
4. Hindi sigurado/ hindi matandaan","1. Oo
2. Dili
3. Usahay
4. Mura / Wala ko kahinumdum",,,
Done,,eyes-checkup,86,Question,Have you had your eye checked by an ophthalmologist?,Napatingin mo ba ang iyong mata sa isang ophthalmologist?,,Napatingnan mo na ba ang mata mo sa opthalmologist? ,Napatan aw naba nimo ang imong mata sa doctor sa mata?,,,
Done,,,,Reply,"1. Yes
2. No
3. I do not remember","1. Oo
2. Hindi
3. Hindi ko maalala",,"1. Oo
2. Hindi
3. Medyo","1. Oo
2. Wala
3. Mura",,,
Done,,eyes-furthercheckup,87,Question,Do you need further checkup with an ophthalmologist?,Kinailangan mo ba ng karagdagang checkup sa iyong ophthalmologist?,,Kailangan mo ba ulit patingnan sa doktor ang mata mo?,Kinahanglan paba nimo ipatan aw ug balik ang imong mata sa doctor?,,,
Done,,,,Reply,"1. Yes
2. No
3. I do not know","1. Oo
2. Hindi
3. Hindi ko alam",,"1. Oo
2. Hindi
3. Hindi alam/ hindi sigurado","1. Oo
2. Dili
3. Wala ko kahibalo/ Mura",,,
Done,,eyes-sighted,88,Question,Are you near-sighted or far-sighted?,Near-sighted ka o far-sighted?,,Malabo ba ang paningin mo sa malayo o sa malapit?,Mohanap ba ang imong panan-aw sa dool o layo?,,,
Done,,,,Reply,"1. Near-sighted
2. Far-sighted
3. Both","1. Near-sighted
2. Far-sighted
3. Pareho",,"1. Malabo sa malayuan
2. Malabo sa malapitan
3. Parehong malabo, malapit at malayo","1. Hanap basta layo
2. Hanap ug dool
3.parehang hanap madool o malayo",,,
Done,,eyes-wearsglasses,89,Question,Do you wear glasses?,Nagsasalamin ka ba?,,Nagsusuot ka ba ng salaming may grado?,Magsul ob baka ug antipara nga adunay grado?,,,
Done,,,,Reply,"1. Yes
2. No
3. Sometimes
4. I do not remember","1. Oo
2. Hindi
3. Minsan
4. Hindi ko maalala",,"1. Oo
2. Hindi
3. Minsan
4. Hindi sigurado/ hindi matandaan","1. Oo
2. Dili
3. Usahay
4. Mura / Wala ko kahinumdum",,,
Done,"family-history-
module",complete-immunization,90,Question,"To your knowledge, have you completed the required vaccinations?","Sa pagkakaalam mo, nakumpleto ba ang mga kinailangan mong bakuna?",,Natatandaan mo ba kung nakumpleto mo ang kinakailangang mga bakuna?,Nakahinumdum baka ug nakompleto ba ang imong mga kinahanglang bakuna atong bata paka?,,,
Done,,,,Reply,"1. Yes
2. No
3. Don't know","1. Oo
2. Hindi
3. Hindi ko alam",,"1. Oo
2. Hindi
3. Hindi sigurado/ hindi matandaan","1. Oo
2. Wala
3. Mura / Wala ko kahinumdum",,,
Done,,has-fh-x,91,Question,Do you have a family or relative who has ____?,May mga kapamilya o pinsan ka na may ____?,May kamag-anak ka bang may ____?,May kapamilya o kamag-anak ka ba na may ____?,Aduna bakay kapamilya o parente nga adunay _______?,,,
Done,,,,Reply,"1. Yes
2. No
3. Maybe","1. Oo
2. Hindi
3. Hindi sigurado",,"1. Meron
2. Wala
3. Hindi sigurado/ hindi alam","1. Naa
2. Wala
3. Mura/ wala ko kahibalo",,,
Done,,has-immu-x,92,Question,Have you been vaccinated against ____?,Nabakunahan ka na ba laban sa ____?,,Nabakunahan ka na ba laban sa ____?,Nabakunahan baka batok sa  ____?,,,
Done,,,,Reply,"1. Yes
2. No
3. Maybe","1. Oo
2. Hindi
3. Hindi sigurado",,"1. Oo
2. Hindi pa
3. Hindi sigurado/ hindi alam","1. Oo
2. Wala
3. Mura/ Wala ko kahibalo",,,
Done,,lacking-vaccines,93,Question,What vaccines were not yet given to you?,Anu-anong mga bakuna ang hindi pa naibigay sa iyo?,,Ano ang mga bakunang hindi mo pa nakukuha/ natatanggap?,Unsa na bakuna ang wala nimo madawat?,,,
Done,,,,Reply,"1. Yes
2. No
3. Maybe","1. Oo
2. Hindi
3. Hindi sigurado",,note: paki-double check dahil mukhang hindi tama ang mga reply,a. DPT                                                             b. BCG                                                        c. OPV                                                                         d. Measles                                                   e. Tetanus                                                      f. Covid vaccine,accepts any answer,,
Done,,who-fh-x,94,Question,"On father side, mother side, or both?","Sa father side, mother side o pareho?",,"Kanino mo namana, sa tatay o sa nanay o pareho?",Asa mani nimo nakuha?,,,
Done,,,,Reply,"1. On father's side
2. On mother's side
3. Both","1. Sa panig ng ama
2. Sa panig ng ina
3. Pareho",,"1. Sa lahi ng tatay 
2. Sa lahi ng nanay 
3. Pareho sa lahi ng tatay at nanay ","1. kaliwat ni papa
2. kaliwat ni mama
3. Pareho silang duha",,,
Done,general-module,get-username,95,Question,What is your username?,Ano ang username mo?,,Ano ang gamit mong username?,Unsa ang imong gigamit na username?,,,
Done,,,,Reply,NO CHOICES (FREE RESPONSE),NO CHOICES (FREE RESPONSE),,,,,,
Done,,"privacy-policy-
confirmation",96,Question,Good Day I am Nurse Bot Dhelia. I am a Nurse Bot and I will ask you some questions about your health. Is that okay?,Magandang araw ako si Nurse Bot Dhelia. Ako ay isang Nurse Bot at magtatanong lamang ako ng ilang katanungan tungkol sa iyong kalusugan?,"Magandang araw, ako si Nurse Bot Dhelia. Ako ay isang Nurse Bot at magtatanong lamang ako ng ilang katanungan tungkol sa iyong kalusugan. Okay lang ba sa iyo?",Kumusta ka?  Gusto kong magpakilala sa iyo. Isa akong Nurse Bot. Ang pangalan ko ay si Nurse Bot DHELIA. Puwede ba akong magtanong tungkol sa kalusugan ng katawan mo?  Payag ka ba?,Kamusta ka?  Ganahan ko magpaila-ila nimo. Usa ko ka Nurse Bot. Ako si Nurse Bot DHELIA. Pwede bako mangutana mahitungod sa sitwasyon sa imong panglawas? Mosugot baka?,,,
Done,,,,Reply,"1. Yes
2. No","1. Oo
2. Hindi",,"1. Opo
2. Hindi po.","1. Oo
2. Dili",,,
Done,gi-module,blackfood-stomach,97,Question,,Madalas ka bang kumakain ng pagkain na itim ang kulay?,,"Palagi ka bang kumakain ng mga  prutas, gulay o butil na medyo o sadyang maitim ang kulay?    ","Permi baka mokaon ug mga prutas, otanon o pagkaon na itom ang kolor?",,,
Done,,,,Reply,,"1. Oo
2. Hindi
3. Minsan
4. Hindi ko alam",,"1. Oo
2. Hindi
3. Minsan
4. Hindi ko alam","1. Oo
2. Dili
3. Usahay
4. Wala ko kahibalo",,,
